,date,pe,close
4313,2016/11/30,16.49,3250.03
4314,2016/12/1,16.61,3273.31
4315,2016/12/2,16.46,3243.84
4316,2016/12/5,16.26,3204.71
4317,2016/12/6,16.23,3199.65
4318,2016/12/7,16.35,3222.24
4319,2016/12/8,16.31,3215.37
4320,2016/12/9,16.4,3232.88
4321,2016/12/12,16,3152.97
4322,2016/12/13,16.01,3155.04
4323,2016/12/14,15.93,3140.53
4324,2016/12/15,15.82,3117.68
4325,2016/12/16,15.85,3122.98
4326,2016/12/19,15.82,3118.08
4327,2016/12/20,15.74,3102.88
4328,2016/12/21,15.92,3137.43
4329,2016/12/22,15.93,3139.56
4330,2016/12/23,15.78,3110.15
4331,2016/12/26,15.84,3122.57
4332,2016/12/27,15.8,3114.66
4333,2016/12/28,15.74,3102.24
4334,2016/12/29,15.71,3096.1
4335,2016/12/30,15.95,3103.64
4336,2017/1/3,16.12,3135.92
4337,2017/1/4,16.23,3158.79
4338,2017/1/5,16.27,3165.41
4339,2017/1/6,16.21,3154.32
4340,2017/1/9,16.3,3171.24
4341,2017/1/10,16.25,3161.67
4342,2017/1/11,16.12,3136.75
4343,2017/1/12,16.03,3119.29
4344,2017/1/13,16,3112.76
4345,2017/1/16,15.95,3103.43
4346,2017/1/17,15.98,3108.77
4347,2017/1/18,16,3113.01
4348,2017/1/19,15.94,3101.3
4349,2017/1/20,16.05,3123.14
4350,2017/1/23,16.12,3136.77
4351,2017/1/24,16.15,3142.55
4352,2017/1/25,16.19,3149.55
4353,2017/1/26,16.35,3159.17
4354,2017/2/3,16.25,3140.17
4355,2017/2/6,16.34,3156.98
4356,2017/2/7,16.32,3153.09
4357,2017/2/8,16.39,3166.98
4358,2017/2/9,16.47,3183.18
4359,2017/2/10,16.54,3196.7
4360,2017/2/13,16.65,3216.84
4361,2017/2/14,16.65,3217.93
4362,2017/2/15,16.63,3212.99
4363,2017/2/16,16.71,3229.62
4364,2017/2/17,16.57,3202.08
4365,2017/2/20,16.77,3239.96
4366,2017/2/21,16.84,3253.33
4367,2017/2/22,16.88,3261.22
4368,2017/2/23,16.83,3251.38
4369,2017/2/24,16.84,3253.43
4370,2017/2/27,16.71,3228.66
4371,2017/2/28,16.83,3241.73
4372,2017/3/1,16.86,3246.93
4373,2017/3/2,16.77,3230.03
4374,2017/3/3,16.71,3218.31
4375,2017/3/6,16.79,3233.87
4376,2017/3/7,16.83,3242.41
4377,2017/3/8,16.82,3240.66
4378,2017/3/9,16.7,3216.75
4379,2017/3/10,16.68,3212.76
4380,2017/3/13,16.81,3237.02
4381,2017/3/14,16.82,3239.33
4382,2017/3/15,16.83,3241.76
4383,2017/3/16,16.97,3268.94
4384,2017/3/17,16.81,3237.45
4385,2017/3/20,16.88,3250.81
4386,2017/3/21,16.93,3261.61
4387,2017/3/22,16.85,3245.22
4388,2017/3/23,16.87,3248.55
4389,2017/3/24,16.97,3269.45
4390,2017/3/27,16.96,3266.96
4391,2017/3/28,16.89,3252.95
4392,2017/3/29,16.83,3241.31
4393,2017/3/30,16.67,3210.24
4394,2017/3/31,16.83,3222.51
4395,2017/4/5,17.08,3270.31
4396,2017/4/6,17.14,3281
4397,2017/4/7,17.16,3286.62
4398,2017/4/10,17.07,3269.39
4399,2017/4/11,17.18,3288.97
4400,2017/4/12,17.1,3273.83
4401,2017/4/13,17.11,3275.96
4402,2017/4/14,16.95,3246.07
4403,2017/4/17,16.83,3222.17
4404,2017/4/18,16.7,3196.71
4405,2017/4/19,16.56,3170.69
4406,2017/4/20,16.57,3172.1
4407,2017/4/21,16.57,3173.15
4408,2017/4/24,16.34,3129.53
4409,2017/4/25,16.37,3134.57
4410,2017/4/26,16.4,3140.85
4411,2017/4/27,16.46,3152.19
4412,2017/4/28,16.71,3154.66
4413,2017/5/2,16.65,3143.71
4414,2017/5/3,16.61,3135.35
4415,2017/5/4,16.57,3127.37
4416,2017/5/5,16.44,3103.04
4417,2017/5/8,16.31,3078.61
4418,2017/5/9,16.32,3080.53
4419,2017/5/10,16.17,3052.78
4420,2017/5/11,16.22,3061.5
4421,2017/5/12,16.33,3083.51
4422,2017/5/15,16.37,3090.23
4423,2017/5/16,16.49,3112.96
4424,2017/5/17,16.44,3104.44
4425,2017/5/18,16.37,3090.14
4426,2017/5/19,16.37,3090.63
4427,2017/5/22,16.29,3075.68
4428,2017/5/23,16.22,3061.95
4429,2017/5/24,16.23,3064.08
4430,2017/5/25,16.46,3107.83
4431,2017/5/26,16.47,3110.06
4432,2017/5/31,16.47,3117.18
4433,2017/6/1,16.39,3102.62
4434,2017/6/2,16.41,3105.54
4435,2017/6/5,16.34,3091.66
4436,2017/6/6,16.39,3102.13
4437,2017/6/7,16.59,3140.32
4438,2017/6/8,16.65,3150.33
4439,2017/6/9,16.69,3158.4
4440,2017/6/12,16.59,3139.88
4441,2017/6/13,16.66,3153.74
4442,2017/6/14,16.54,3130.67
4443,2017/6/15,16.55,3132.49
4444,2017/6/16,16.5,3123.17
4445,2017/6/19,16.61,3144.37
4446,2017/6/20,16.59,3140.01
4447,2017/6/21,16.68,3156.21
4448,2017/6/22,16.63,3147.45
4449,2017/6/23,16.68,3157.87
4450,2017/6/26,16.83,3185.44
4451,2017/6/27,16.86,3191.2
4452,2017/6/28,16.77,3173.2
4453,2017/6/29,16.84,3188.06
4454,2017/6/30,17.03,3192.43
4455,2017/7/3,17.05,3195.91
4456,2017/7/4,16.98,3182.8
4457,2017/7/5,17.11,3207.13
4458,2017/7/6,17.14,3212.44
4459,2017/7/7,17.17,3217.96
4460,2017/7/10,17.14,3212.63
4461,2017/7/11,17.09,3203.04
4462,2017/7/12,17.06,3197.54
4463,2017/7/13,17.17,3218.16
4464,2017/7/14,17.19,3222.42
4465,2017/7/17,16.94,3176.46
4466,2017/7/18,17,3187.57
